,Time,Predicted label
1202,2022-08-31 11:00:01,0
1203,2022-08-31 11:30:01,0
1204,2022-08-31 12:00:01,0
1205,2022-08-31 12:30:01,0
1206,2022-08-31 13:00:01,0
1207,2022-08-31 13:30:01,0
1208,2022-08-31 14:00:01,0
1209,2022-08-31 14:30:01,0
1210,2022-08-31 15:00:01,0
1211,2022-08-31 15:30:01,0
1212,2022-08-31 16:00:01,0
1213,2022-08-31 16:30:01,0
1214,2022-08-31 17:00:01,0
1215,2022-08-31 17:30:01,0
1216,2022-08-31 18:00:01,1
1217,2022-08-31 18:30:01,1
1218,2022-08-31 19:00:01,1
1219,2022-08-31 19:30:01,1
1220,2022-09-01 06:00:01,0
1221,2022-09-01 06:30:01,1
1222,2022-09-01 07:00:01,1
1223,2022-09-01 07:30:01,1
1224,2022-09-01 08:00:01,1
1225,2022-09-01 08:30:01,1
1226,2022-09-01 09:00:01,1
1227,2022-09-01 09:30:01,1
1228,2022-09-01 10:00:01,1
1229,2022-09-01 10:30:01,1
1230,2022-09-01 11:00:01,1
1231,2022-09-01 11:30:01,1
1232,2022-09-01 12:00:01,1
1233,2022-09-01 12:30:01,1
1234,2022-09-01 13:00:01,1
1235,2022-09-01 13:30:01,1
1236,2022-09-01 14:00:01,0
1237,2022-09-01 14:30:01,0
1238,2022-09-01 15:00:01,1
1239,2022-09-01 15:30:01,0
1240,2022-09-01 16:00:01,0
1241,2022-09-01 16:30:01,0
1242,2022-09-01 17:00:01,0
1243,2022-09-01 17:30:01,0
1244,2022-09-01 18:00:01,0
1245,2022-09-01 18:30:01,1
1246,2022-09-01 19:00:01,1
1247,2022-09-01 19:30:01,1
1248,2022-09-02 06:00:01,1
1249,2022-09-02 06:30:01,1
1250,2022-09-02 07:00:01,1
1251,2022-09-02 07:30:01,1
1252,2022-09-02 08:00:01,1
1253,2022-09-02 08:30:01,1
1254,2022-09-02 09:00:01,1
1255,2022-09-02 09:30:01,1
1256,2022-09-02 10:00:01,1
1257,2022-09-02 10:30:01,0
1258,2022-09-02 11:00:01,0
1259,2022-09-02 11:30:01,0
1260,2022-09-02 12:00:01,0
1261,2022-09-02 12:30:01,0
1262,2022-09-02 13:00:01,0
1263,2022-09-02 13:30:01,0
1264,2022-09-02 14:00:01,0
1265,2022-09-02 14:30:01,0
1266,2022-09-02 15:00:01,0
1267,2022-09-02 15:30:01,0
1268,2022-09-02 16:00:01,0
1269,2022-09-02 16:30:01,0
1270,2022-09-02 17:00:01,0
1271,2022-09-02 17:30:01,0
1272,2022-09-02 18:00:01,1
1273,2022-09-02 18:30:01,1
1274,2022-09-02 19:00:01,1
1275,2022-09-02 19:30:01,1
1276,2022-09-03 06:00:01,0
1277,2022-09-03 06:30:01,1
1278,2022-09-03 07:00:01,1
1279,2022-09-03 07:30:01,1
1280,2022-09-03 08:00:01,1
1281,2022-09-03 08:30:01,1
1282,2022-09-03 09:00:01,1
1283,2022-09-03 09:30:01,1
1284,2022-09-03 10:00:01,1
1285,2022-09-03 10:30:01,0
1286,2022-09-03 11:00:01,0
1287,2022-09-03 11:30:01,0
1288,2022-09-03 12:00:01,0
1289,2022-09-03 12:30:01,0
1290,2022-09-03 13:00:01,0
1291,2022-09-03 13:30:01,0
1292,2022-09-03 14:00:01,0
1293,2022-09-03 14:30:01,0
1294,2022-09-03 15:00:01,0
1295,2022-09-03 15:30:01,0
1296,2022-09-03 16:00:01,0
1297,2022-09-03 16:30:01,0
1298,2022-09-03 17:00:01,0
1299,2022-09-03 17:30:01,0
1300,2022-09-03 18:00:01,0
1301,2022-09-03 18:30:01,0
1302,2022-09-03 19:00:01,0
1303,2022-09-03 19:30:01,0
1304,2022-09-04 06:00:01,0
1305,2022-09-04 06:30:01,1
1306,2022-09-04 07:00:01,1
1307,2022-09-04 07:30:01,0
1308,2022-09-04 08:00:01,0
1309,2022-09-04 08:30:01,0
1310,2022-09-04 09:00:01,1
1311,2022-09-04 09:30:01,0
1312,2022-09-04 10:00:01,0
1313,2022-09-04 10:30:01,0
1314,2022-09-04 11:00:01,1
1315,2022-09-04 11:30:01,1
1316,2022-09-04 12:00:01,0
1317,2022-09-04 12:30:01,0
1318,2022-09-04 13:00:01,1
1319,2022-09-04 13:30:01,1
1320,2022-09-04 14:00:01,0
1321,2022-09-04 14:30:01,0
1322,2022-09-04 15:00:01,0
1323,2022-09-04 15:30:01,1
1324,2022-09-04 16:00:01,1
1325,2022-09-04 16:30:01,0
1326,2022-09-04 17:00:01,0
1327,2022-09-04 17:30:01,0
1328,2022-09-04 18:00:01,1
1329,2022-09-04 18:30:01,1
1330,2022-09-04 19:00:01,1
1331,2022-09-04 19:30:01,1
1332,2022-09-05 06:00:01,0
1333,2022-09-05 06:30:01,0
1334,2022-09-05 07:00:01,1
1335,2022-09-05 07:30:01,1
1336,2022-09-05 08:00:01,1
1337,2022-09-05 08:30:01,1
1338,2022-09-05 09:00:01,1
1339,2022-09-05 09:30:01,1
1340,2022-09-05 10:00:01,0
1341,2022-09-05 10:30:01,1
1342,2022-09-05 11:00:01,0
1343,2022-09-05 11:30:01,0
1344,2022-09-05 12:00:01,1
1345,2022-09-05 12:30:01,0
1346,2022-09-05 13:00:01,1
1347,2022-09-05 13:30:01,0
1348,2022-09-05 14:00:01,0
1349,2022-09-05 14:30:01,0
1350,2022-09-05 15:00:01,0
1351,2022-09-05 15:30:01,0
1352,2022-09-05 16:00:01,0
1353,2022-09-05 16:30:01,0
1354,2022-09-05 17:00:01,0
1355,2022-09-05 17:30:01,0
1356,2022-09-05 18:00:01,0
1357,2022-09-05 18:30:01,0
1358,2022-09-05 19:00:01,0
1359,2022-09-05 19:30:01,1
1360,2022-09-06 06:00:01,0
1361,2022-09-06 06:30:01,0
1362,2022-09-06 07:00:01,1
1363,2022-09-06 07:30:01,1
1364,2022-09-06 08:00:01,1
1365,2022-09-06 08:30:01,1
1366,2022-09-06 09:00:01,1
1367,2022-09-06 09:30:01,0
1368,2022-09-06 10:00:01,0
1369,2022-09-06 10:30:01,0
1370,2022-09-06 11:00:01,0
1371,2022-09-06 11:30:01,0
1372,2022-09-06 12:00:01,0
1373,2022-09-06 12:30:01,0
1374,2022-09-06 13:00:01,0
